TA_CODE;yeni_ulke;NEW_TA_CODE;sacma_ta_code
ge80110984;DE;de80017920;us00000146
ge80070194;DE;de80031122;us00000147
ge80109824;DE;de81082517;us00000148
ge80107963;DE;de80269583;us00000149
ge80126730;DE;de81082470;us00000150
ge80129911;DE;de81082488;us00000151
ge80064414;DE;de80085424;us00000152
ge80110485;DE;de80003055;us00000153
ge80110969;DE;de81082478;us00000154
ge80108352;DE;de81082487;us00000155
ge80111053;DE;de81082483;us00000156
ge80111054;DE;de81082486;us00000157
ge80111055;DE;de81082484;us00000158
ge80111056;DE;de81082482;us00000159
ge80127291;DE;de81082500;us00000160
ge80127292;DE;de81082502;us00000161
ge80116106;DE;de81082501;us00000162
ge80111604;DE;de81082503;us00000163
ge80112032;DE;de81082505;us00000164
ge80106620;DE;de80062621;us00000165
ge80068345;AZ;az80086647;us00000166
ge80126942;DE;de81082485;us00000167
ge80106148;DE;de80026619;us00000168
ge80130960;DE;de81082510;us00000169
ge80018593;DE;de81082496;us00000170
ge80090621;DE;de81082497;us00000171
ge80075702;DE;de80065747;us00000172
ge80091211;DE;de80045473;us00000173
ge80129267;DE;de80881992;us00000174
ge80107698;DE;de81082466;us00000175
ge80108290;DE;de81082480;us00000176
ge80117268;DE;de81082512;us00000177
ge80002915;DE;de81082515;us00000178
ge80129338;DE;de80215188;us00000179
ge80110440;DE;de81082467;us00000180
ge80022223;DE;de81082474;us00000181
ge80023187;DE;de80058264;us00000182
ge80108084;DE;de81082472;us00000183
ge80068380;DE;de80011876;us00000184
ge80114819;DE;de81082479;us00000185
ge80110843;DE;de81082476;us00000186
ge80115758;DE;de81082492;us00000187
ge80070177;DE;de81082495;us00000188
ge80070563;DE;de80263059;us00000189
ge80108147;DE;de80884859;us00000190
ge80129683;DE;de80576817;us00000191
ge80111560;DK;dk90041565;us00000192
ge80111986;DK;dk90024545;us00000193
ge80130637;DK;dk90038173;us00000194
ge80075727;AZ;az80086648;us00000195
ge80102047;DK;dk80019853;us00000196
ge80108272;DK;dk90041563;us00000197
ge80113815;DK;dk80014793;us00000198
ge80126565;DK;dk90041562;us00000199
ge80108146;DK;dk90023804;us00000200
ge80072963;DK;dk90041566;us00000201
ge80108576;DK;dk90041564;us00000202
ge80110895;DO;do00701187;us00000203
ge80109872;EC;ec80173152;us00000204
ge80117006;EC;ec80148035;us00000205
ge80133081;EE;ee90016373;us00000206
ge80133082;EE;ee90016374;us00000207
ge80001096;EE;ee90017540;us00000208
ge80079823;EE;ee90017541;us00000209
ge80016311;EE;ee90017546;us00000210
ge80079244;EE;ee90017545;us00000211
ge12207596;EE;ee80004914;us00000212
ge80000509;EE;ee80007378;us00000213
ge80000712;EE;ee80002476;us00000214
ge80078723;EE;ee90017544;us00000215
ge80071323;EE;ee80116799;us00000216
ge80008093;EE;ee90017543;us00000217
ge80002624;EE;ee90017542;us00000218
ge80111347;EG;eg80205819;us00000219
ge80062414;EG;eg80017660;us00000220
ge80116796;EG;eg80008348;us00000221
ge80086995;EG;eg80009866;us00000222
ge80116889;EG;eg80142332;us00000223
ge80128440;EG;eg80078369;us00000224
ge80086847;AZ;az80086572;us00000225
ge80124517;EG;eg80023900;us00000226
ge80124653;EG;eg80290425;us00000227
ge80090541;EG;eg80290427;us00000228
ge80073194;EG;eg80060586;us00000229
ge80113876;EG;eg80172863;us00000230
ge80117736;EG;eg80271975;us00000231
ge80117185;EG;eg80290426;us00000232
ge80099693;EG;eg80080325;us00000233
ge80079663;EG;eg80290424;us00000234
ge80126722;ES;es80516237;us00000235
ge80114422;ES;es80516236;us00000236
ge80072668;ES;es80168290;us00000237
ge80001009;ES;es80011882;us00000238
ge80010806;ES;es80030377;us00000239
ge80001007;ES;es80011857;us00000240
ge80114831;ES;es80437159;us00000241
ge80128268;ES;es80516240;us00000242
ge80107938;AZ;az80086629;us00000243
ge80072579;AZ;az00710525;us00000244
ge80068341;AZ;az80086631;us00000245
ge80075624;AZ;az80086632;us00000246
ge80068342;AZ;az80086633;us00000247
ge80068131;AZ;az80086636;us00000248
ge80107940;AZ;az80086638;us00000249
ge80090202;AZ;az80072028;us00000250
ge80128212;AZ;az80086641;us00000251
ge80110650;AZ;az80086642;us00000252
ge80069782;AZ;az80086645;us00000253
ge80068344;AZ;az80086646;us00000254
ge80069783;AZ;az80086630;us00000255
ge80107942;AZ;az80086643;us00000256
ge80102201;AZ;az80086644;us00000257
ge80018199;AZ;az80086821;us00000258
ge80018201;AZ;az80086823;us00000259
ge80018202;AZ;az80086822;us00000260
ge80018203;AZ;az80086820;us00000261
ge80064316;AZ;az80086834;us00000262
ge80064317;AZ;az80086835;us00000263
ge80003164;AZ;az00700826;us00000264
ge80069281;AZ;az80086842;us00000265
ge80045316;AZ;az80086841;us00000266
ge80056900;AZ;az80086840;us00000267
ge80068762;AZ;az80086837;us00000268
ge80068763;AZ;az80086838;us00000269
ge80022054;AZ;az80086839;us00000270
ge80075876;AZ;az80086844;us00000271
ge80109951;AZ;az80086845;us00000272
ge80075878;AZ;az80086847;us00000273
ge80012162;AZ;az80086836;us00000274
ge80110683;BA;ba90001699;us00000275
ge80110599;BD;bd00101890;us00000276
ge80114307;BD;bd80407704;us00000277
ge80113985;BD;bd80020929;us00000278
ge80014877;BE;be80013293;us00000279
ge80000949;BE;be80299577;us00000280
ge80114485;BE;be80299575;us00000281
ge80113859;BE;be80003207;us00000282
ge80014876;BE;be80299579;us00000283
ge80128180;BE;be80199050;us00000284
ge80124582;BE;be80088291;us00000285
ge80128226;BE;be80102283;us00000286
ge80018413;BE;be80299572;us00000287
ge80114601;BE;be80299574;us00000288
ge80010385;CH;ch80001822;us00000289
ge80128164;BE;be80081889;us00000290
ge80129995;BE;be80237477;us00000291
ge80125057;BE;be80299578;us00000292
ge80110420;BE;be80299571;us00000293
ge80107820;BE;be80174715;us00000294
ge80110725;BE;be80299573;us00000295
ge80108145;BE;be80299576;us00000296
ge80131617;BG;bg80266872;us00000297
ge80014412;BG;bg80011432;us00000298
ge80014411;BG;bg80011432;us00000299
ge80117451;BG;bg90015858;us00000300
ge80069872;BG;bg80392957;us00000301
ge80129715;BG;bg90015856;us00000302
ge80088270;BG;bg80468036;us00000303
ge80014403;BG;bg90015857;us00000304
ge80069601;BG;bg90015860;us00000305
ge80018350;BG;bg90015859;us00000306
ge80027988;BG;bg80205134;us00000307
ge80097383;BH;bh80059964;us00000308
ge80045438;BM;bm80121488;us00000309
ge80123885;BR;br82855830;us00000310
ge80080104;BR;br82855829;us00000311
ge80121541;BR;br82855826;us00000312
ge80121702;BR;br82855827;us00000313
ge80123397;BR;br82855828;us00000314
ge80122381;BR;br80013761;us00000315
ge80114163;BR;br82855822;us00000316
ge80075731;BR;br82855823;us00000317
ge80110734;BR;br82855824;us00000318
ge80126735;BR;br82855825;us00000319
ge80130903;BW;bw00126375;us00000320
ge80116544;BY;by00709085;us00000321
ge80023791;BY;by00733081;us00000322
